cus_ID,cus_first_name,cus_last_name,cus_age,cus_gender,cus_phone,cus_DOB,cus_email,cus_loyalty_tier,cus_address_line,cus_city,cus_state,cus_postcode,cus_reg_date
21796,Kai Xin,Chong,35,Female,012-9994200,1988-02-18,kai21796@gmail.com,Silver,"No. 288, Jalan E3",Kuala Lumpur,Wilayah Persekutuan,57000,2024-01-01
21797,Syafiq,bin Yusof,55,Male,014-7433261,1968-07-26,syafiq21797@gmail.com,Bronze,"No. 96, Jalan F1",Kuala Lumpur,Wilayah Persekutuan,50450,2024-01-01
21798,Aisyah,binti Osman,40,Female,018-8160095,1983-12-19,aisyah21798@gmail.com,Bronze,"No. 232, Jalan D16",Kuala Lumpur,Wilayah Persekutuan,55100,2024-01-01
21799,Balqis,binti Abdullah,31,Female,018-8776172,1992-01-26,balqis21799@gmail.com,Silver,"No. 297, Jalan E7",Klang,Selangor,41200,2024-01-01
21800,Nurul Huda,binti Razak,37,Female,015-2999791,1986-02-01,nurul21800@gmail.com,Bronze,"No. 19, Jalan C11",Klang,Selangor,41100,2024-01-01
21801,Farah,binti Yusof,33,Female,019-3249755,1990-01-15,farah21801@gmail.com,Silver,"No. 163, Jalan G1",Puchong,Selangor,47100,2024-01-01
21802,Balqis,binti Ismail,28,Female,014-9916555,1995-02-08,balqis21802@gmail.com,Silver,"No. 189, Jalan B8",Puchong,Selangor,47180,2024-01-01
21803,Haziq,bin Zainal,58,Male,010-8263635,1965-11-07,haziq21803@gmail.com,Silver,"No. 294, Jalan C3",Selayang,Selangor,68100,2024-01-01
21804,Amelia,binti Ahmad,23,Female,013-7457471,2000-11-07,amelia21804@gmail.com,Silver,"No. 11, Jalan D11",Kuala Lumpur,Wilayah Persekutuan,57000,2024-01-02
21805,Ling Ling,Chan,48,Female,013-6004984,1975-06-20,ling21805@gmail.com,Bronze,"No. 254, Jalan D19",Johor Bahru,Johor,80350,2024-01-02
21806,Emily,Goh,38,Female,012-5721156,1985-04-12,emily21806@gmail.com,Bronze,"No. 12, Jalan A14",Johor Bahru,Johor,80100,2024-01-02
21807,Nur Aina,binti Razak,53,Female,019-1652287,1970-03-08,nur21807@gmail.com,Silver,"No. 134, Jalan B9",Setapak,Wilayah Persekutuan,53200,2024-01-02
21808,Kok Wai,Yap,35,Male,019-8270023,1988-10-24,kok21808@gmail.com,Bronze,"No. 236, Jalan E7",Wangsa Maju,Wilayah Persekutuan,53300,2024-01-02
21809,Kevin,Yap,47,Male,019-6212481,1976-03-13,kevin21809@gmail.com,Bronze,"No. 141, Jalan D16",Petaling Jaya,Selangor,47300,2024-01-03
21810,Balqis,binti Razak,36,Female,012-8264786,1987-01-05,balqis21810@gmail.com,Silver,"No. 122, Jalan C3",Petaling Jaya,Selangor,46050,2024-01-03
21811,Xin Yi,Loh,53,Female,016-5837702,1970-04-13,xin21811@gmail.com,Silver,"No. 129, Jalan A15",Melaka,Melaka,75050,2024-01-03
21812,Wan Ying,Chan,29,Female,017-1043703,1994-07-05,wan21812@gmail.com,Silver,"No. 32, Jalan C2",Klang,Selangor,41300,2024-01-03
21813,Fatimah,binti Ahmad,54,Female,018-4818842,1969-06-18,fatimah21813@gmail.com,Platinum,"No. 265, Jalan C8",Puchong,Selangor,47190,2024-01-03
21814,Hui Min,Teoh,27,Female,015-6135702,1996-06-23,hui21814@gmail.com,Bronze,"No. 143, Jalan D20",Setapak,Wilayah Persekutuan,53000,2024-01-03
21815,Wan Ying,Yeoh,44,Female,010-9193436,1979-03-16,wan21815@gmail.com,Silver,"No. 181, Jalan C18",Kuala Lumpur,Wilayah Persekutuan,50450,2024-01-04
21816,Priya,a/p Muniandy,32,Female,019-2639732,1991-04-08,priya21816@gmail.com,Bronze,"No. 2, Jalan D19",Gombak,Wilayah Persekutuan,53000,2024-01-04
21817,Siti,binti Osman,40,Female,018-9927098,1983-05-30,siti21817@gmail.com,Bronze,"No. 3, Jalan D15",Petaling Jaya,Selangor,46000,2024-01-04
21818,Irfan,bin Ismail,47,Male,018-4380701,1976-08-31,irfan21818@gmail.com,Gold,"No. 119, Jalan A5",Petaling Jaya,Selangor,47810,2024-01-04
21819,Michelle,Teoh,21,Female,018-2273097,2002-07-04,michelle21819@gmail.com,Bronze,"No. 1, Jalan G15",Johor Bahru,Johor,80100,2024-01-04
21820,Yasmin,binti Hamid,54,Female,012-5189869,1969-05-01,yasmin21820@gmail.com,Silver,"No. 26, Jalan G2",Melaka,Melaka,75300,2024-01-04
21821,Nur Aina,binti Hamid,58,Female,010-5374146,1965-08-20,nur21821@gmail.com,Silver,"No. 139, Jalan F4",Shah Alam,Selangor,40400,2024-01-04
21822,Chloe,Ng,46,Female,012-7965641,1977-12-06,chloe21822@gmail.com,Bronze,"No. 6, Jalan D9",Shah Alam,Selangor,40100,2024-01-04
21823,Sze Min,Yeoh,47,Female,015-1483987,1976-11-03,sze21823@gmail.com,Bronze,"No. 165, Jalan B16",Shah Alam,Selangor,40200,2024-01-04
21824,Yasmin,binti Zainal,19,Female,018-8731745,2004-04-24,yasmin21824@gmail.com,Silver,"No. 266, Jalan C20",Petaling Jaya,Selangor,47800,2024-01-04
21825,Priya,a/p Ramasamy,39,Female,014-3554771,1984-01-13,priya21825@gmail.com,Silver,"No. 67, Jalan C20",Klang,Selangor,41100,2024-01-04
21826,Thivya,a/p Rajan,26,Female,014-3263794,1997-07-11,thivya21826@gmail.com,Bronze,"No. 45, Jalan F15",Setapak,Wilayah Persekutuan,53300,2024-01-04
21827,Ganesh,a/l Maniam,46,Male,013-7363344,1977-08-16,ganesh21827@gmail.com,Bronze,"No. 241, Jalan F10",Setapak,Wilayah Persekutuan,53000,2024-01-04
21828,Izzati,binti Yusof,34,Female,016-8813190,1989-03-18,izzati21828@gmail.com,Silver,"No. 128, Jalan A7",Gombak,Wilayah Persekutuan,68100,2024-01-04
21829,Nurul Huda,binti Ismail,18,Female,011-3528369,2005-08-05,nurul21829@gmail.com,Bronze,"No. 82, Jalan B4",Johor Bahru,Johor,81100,2024-01-05
