st_ID,br_ID,st_first_name,st_last_name,st_position,st_address_line,st_city,st_state,st_postcode,st_DOB,st_gender,st_email,st_phone,st_hire_date,st_status
253,1,Vikram,a/l Krishnan,Beauty Therapist,"No. 133, Jalan 9/18",Kuala Lumpur,Wilayah Persekutuan,55100,1993-08-17,Male,vikram.253@glowbeauty.com.my,018-5346351,2024-03-29,Active
254,1,Anisa,binti Yusof,Beauty Therapist,"No. 52, Jalan 1/12",Kuala Lumpur,Wilayah Persekutuan,55100,1996-02-10,Female,anisa.254@glowbeauty.com.my,016-6737398,2025-03-30,Active
255,2,Suhaila,binti Osman,Sales Assistant,"No. 95, Jalan 18/24",Petaling Jaya,Selangor,47300,1988-12-18,Female,suhaila.255@glowbeauty.com.my,013-4611444,2024-05-12,Active
256,2,Daniel,Lim,Beauty Therapist,"No. 153, Jalan 16/27",Petaling Jaya,Selangor,47300,1996-09-16,Male,daniel.256@glowbeauty.com.my,016-3730167,2025-06-19,Active
257,3,Aina,binti Osman,Beauty Therapist,"No. 207, Jalan 11/23",Johor Bahru,Johor,81100,2002-10-03,Female,aina.257@glowbeauty.com.my,014-8827079,2024-07-31,Active
258,3,Sharmila,a/p Krishnan,Beauty Therapist,"No. 170, Jalan 10/27",Johor Bahru,Johor,81100,1997-03-17,Female,sharmila.258@glowbeauty.com.my,011-9329105,2025-03-23,Active
259,4,Nurul Huda,binti Osman,Beauty Therapist,"No. 196, Jalan 3/15",George Town,Pulau Pinang,10100,2002-04-26,Female,nurul.259@glowbeauty.com.my,015-7584147,2024-04-01,Active
260,6,Kok Wai,Ong,Beauty Therapist,"No. 87, Jalan 15/20",Shah Alam,Selangor,40100,1996-09-16,Male,kok.260@glowbeauty.com.my,018-2594496,2024-03-07,Active
261,6,Yasmin,binti Hamid,Beauty Therapist,"No. 169, Jalan 19/22",Shah Alam,Selangor,40100,2000-04-02,Female,yasmin.261@glowbeauty.com.my,014-2113332,2025-07-18,Active
262,7,Alia,binti Razak,Beauty Therapist,"No. 131, Jalan 19/15",Klang,Selangor,41200,1996-06-12,Female,alia.262@glowbeauty.com.my,017-8589693,2024-08-17,Active
263,8,Nadia,binti Hassan,Beauty Therapist,"No. 204, Jalan 18/24",Puchong,Selangor,47100,1989-08-09,Female,nadia.263@glowbeauty.com.my,019-5671698,2024-08-30,Active
264,10,Lakshmi,a/p Ramasamy,Beauty Therapist,"No. 233, Jalan 10/11",Setapak,Wilayah Persekutuan,53300,1990-11-29,Female,lakshmi.264@glowbeauty.com.my,012-3353311,2024-03-18,Active
