cus_ID,cus_first_name,cus_last_name,cus_age,cus_gender,cus_phone,cus_DOB,cus_email,cus_loyalty_tier,cus_address_line,cus_city,cus_state,cus_postcode,cus_reg_date
14633,Balqis,binti Hassan,33,Female,014-9930263,1988-09-08,balqis14633@gmail.com,Bronze,"No. 253, Jalan D8",Wangsa Maju,Wilayah Persekutuan,53300,2022-01-01
14634,Yasmin,binti Ahmad,34,Female,010-7708055,1987-10-26,yasmin14634@gmail.com,Bronze,"No. 41, Jalan B15",Kuala Lumpur,Wilayah Persekutuan,50000,2022-01-01
14635,Nadia,binti Ahmad,39,Female,019-3058201,1982-10-15,nadia14635@gmail.com,Silver,"No. 109, Jalan F18",Kuala Lumpur,Wilayah Persekutuan,50000,2022-01-01
14636,Alia,binti Zainal,41,Female,019-4862568,1980-04-20,alia14636@gmail.com,Silver,"No. 102, Jalan G8",Ipoh,Perak,31400,2022-01-01
14637,Hui Min,Yeoh,55,Female,019-1995867,1966-04-02,hui14637@gmail.com,Gold,"No. 178, Jalan A10",Petaling Jaya,Selangor,46050,2022-01-01
14638,Michelle,Sim,44,Female,017-8349586,1977-11-26,michelle14638@gmail.com,Bronze,"No. 29, Jalan G20",Wangsa Maju,Wilayah Persekutuan,53100,2022-01-01
14639,Amelia,binti Zainal,46,Female,010-9238542,1975-02-15,amelia14639@gmail.com,Bronze,"No. 105, Jalan C18",Kuala Lumpur,Wilayah Persekutuan,58000,2022-01-01
14640,Amirul,bin Osman,41,Male,016-8107393,1980-10-01,amirul14640@gmail.com,Bronze,"No. 45, Jalan F13",Johor Bahru,Johor,80200,2022-01-01
14641,Xin Yi,Sim,47,Female,018-2600927,1974-10-09,xin14641@gmail.com,Bronze,"No. 32, Jalan D14",Melaka,Melaka,75250,2022-01-01
14642,Nur Aina,binti Hamid,46,Female,015-8182925,1975-09-04,nur14642@gmail.com,Silver,"No. 16, Jalan B13",Shah Alam,Selangor,40460,2022-01-01
14643,Jasmine,Liew,21,Female,019-9465104,2000-08-22,jasmine14643@gmail.com,Bronze,"No. 290, Jalan E7",Puchong,Selangor,47140,2022-01-01
14644,Rohani,binti Osman,52,Female,015-8808508,1969-02-25,rohani14644@gmail.com,Gold,"No. 160, Jalan A7",Klang,Selangor,41200,2022-01-01
14645,Farah,binti Hassan,27,Female,017-3266439,1994-06-01,farah14645@gmail.com,Bronze,"No. 47, Jalan E20",Klang,Selangor,41100,2022-01-01
14646,Rohani,binti Rahman,39,Female,018-9070267,1982-03-19,rohani14646@gmail.com,Silver,"No. 142, Jalan D15",Klang,Selangor,41050,2022-01-01
14647,Jia Yi,Chua,53,Female,018-6308548,1968-10-02,jia14647@gmail.com,Bronze,"No. 279, Jalan E10",Klang,Selangor,41050,2022-01-01
14648,Zarina,binti Zainal,19,Female,017-7075934,2002-02-26,zarina14648@gmail.com,Platinum,"No. 17, Jalan B4",Selayang,Selangor,68000,2022-01-01
14649,Faizal,bin Ahmad,43,Male,019-5638353,1978-05-02,faizal14649@gmail.com,Bronze,"No. 135, Jalan D4",Selayang,Selangor,68000,2022-01-01
14650,Pei Shan,Sim,55,Female,017-4952977,1966-01-26,pei14650@gmail.com,Bronze,"No. 224, Jalan D14",Setapak,Wilayah Persekutuan,53200,2022-01-01
14651,Yasmin,binti Rahman,23,Female,011-7001029,1998-04-13,yasmin14651@gmail.com,Silver,"No. 4, Jalan D13",Johor Bahru,Johor,80100,2022-01-02
14652,Anisa,binti Rahman,37,Female,013-6589467,1984-03-22,anisa14652@gmail.com,Platinum,"No. 25, Jalan C17",Johor Bahru,Johor,81100,2022-01-02
