st_ID,br_ID,st_first_name,st_last_name,st_position,st_address_line,st_city,st_state,st_postcode,st_DOB,st_gender,st_email,st_phone,st_hire_date,st_status
1,1,Divya,a/p Krishnan,Branch Manager,"No. 214, Jalan 4/9",Kuala Lumpur,Wilayah Persekutuan,55100,1970-04-05,Female,divya.1@glowbeauty.com.my,017-7455481,2016-02-13,Active
2,1,Alia,binti Hassan,Sales Assistant,"No. 169, Jalan 16/18",Kuala Lumpur,Wilayah Persekutuan,55100,1980-12-26,Female,alia.2@glowbeauty.com.my,016-5138710,2016-03-24,Active
3,1,Chong Wei,Goh,Beauty Therapist,"No. 21, Jalan 6/15",Kuala Lumpur,Wilayah Persekutuan,55100,1984-11-28,Male,chong.3@glowbeauty.com.my,017-2209026,2016-04-09,Active
4,1,Amelia,binti Zainal,Beauty Therapist,"No. 48, Jalan 16/28",Kuala Lumpur,Wilayah Persekutuan,55100,1989-01-11,Female,amelia.4@glowbeauty.com.my,011-9631319,2016-04-11,Active
5,1,Balqis,binti Ahmad,Beauty Therapist,"No. 138, Jalan 9/7",Kuala Lumpur,Wilayah Persekutuan,55100,1977-10-18,Female,balqis.5@glowbeauty.com.my,014-1163802,2016-05-03,Active
6,1,Hannah,binti Ismail,Sales Assistant,"No. 169, Jalan 12/4",Kuala Lumpur,Wilayah Persekutuan,55100,1991-09-08,Female,hannah.6@glowbeauty.com.my,010-7358246,2016-05-05,Active
7,1,Emily,Teoh,Senior Therapist,"No. 133, Jalan 9/24",Kuala Lumpur,Wilayah Persekutuan,55100,1974-07-12,Female,emily.7@glowbeauty.com.my,017-5181361,2016-05-08,Active
8,1,Zulkifli,bin Ahmad,Beauty Therapist,"No. 65, Jalan 17/21",Kuala Lumpur,Wilayah Persekutuan,55100,1974-11-22,Male,zulkifli.8@glowbeauty.com.my,014-4504996,2016-05-11,Active
9,1,Anisa,binti Hamid,Beauty Therapist,"No. 185, Jalan 7/19",Kuala Lumpur,Wilayah Persekutuan,55100,1990-10-05,Female,anisa.9@glowbeauty.com.my,016-4239703,2016-05-16,Active
10,1,Zarina,binti Hassan,Sales Assistant,"No. 179, Jalan 3/4",Kuala Lumpur,Wilayah Persekutuan,55100,1987-08-17,Female,zarina.10@glowbeauty.com.my,012-1946846,2016-05-16,Active
11,1,Anisa,binti Hamid,Senior Therapist,"No. 84, Jalan 3/2",Kuala Lumpur,Wilayah Persekutuan,55100,1991-11-15,Female,anisa.11@glowbeauty.com.my,017-9717589,2016-05-26,Active
12,1,Siti,binti Hamid,Beauty Therapist,"No. 223, Jalan 1/8",Kuala Lumpur,Wilayah Persekutuan,55100,1988-02-22,Female,siti.12@glowbeauty.com.my,019-7551344,2016-05-29,Active
13,1,Suhaila,binti Rahman,Senior Therapist,"No. 78, Jalan 3/26",Kuala Lumpur,Wilayah Persekutuan,55100,1980-11-19,Female,suhaila.13@glowbeauty.com.my,018-5658205,2016-06-01,Active
14,1,Izzati,binti Abdullah,Receptionist,"No. 248, Jalan 9/25",Kuala Lumpur,Wilayah Persekutuan,55100,1989-06-17,Female,izzati.14@glowbeauty.com.my,017-9656828,2016-12-01,Active
15,1,Yong Sheng,Chin,Beauty Therapist,"No. 49, Jalan 18/10",Kuala Lumpur,Wilayah Persekutuan,55100,1984-03-28,Male,yong.15@glowbeauty.com.my,019-6629932,2017-01-13,Active
16,1,Izzati,binti Zainal,Beauty Therapist,"No. 87, Jalan 16/16",Kuala Lumpur,Wilayah Persekutuan,55100,1983-09-05,Female,izzati.16@glowbeauty.com.my,016-8798256,2017-03-05,Active
17,1,Balqis,binti Hamid,Cashier,"No. 241, Jalan 12/1",Kuala Lumpur,Wilayah Persekutuan,55100,1983-02-18,Female,balqis.17@glowbeauty.com.my,019-7138085,2017-03-11,Resigned
18,1,Aina,binti Razak,Cashier,"No. 185, Jalan 3/4",Kuala Lumpur,Wilayah Persekutuan,55100,1994-02-11,Female,aina.18@glowbeauty.com.my,017-2464315,2017-05-03,Resigned
19,1,Kumar,a/l Ramasamy,Beauty Therapist,"No. 167, Jalan 9/24",Kuala Lumpur,Wilayah Persekutuan,55100,1989-06-19,Male,kumar.19@glowbeauty.com.my,013-1866444,2017-09-26,Active
20,1,Anjali,a/p Subramaniam,Sales Assistant,"No. 167, Jalan 19/12",Kuala Lumpur,Wilayah Persekutuan,55100,1993-05-23,Female,anjali.20@glowbeauty.com.my,011-2943123,2018-04-01,Active
21,1,Thivya,a/p Subramaniam,Beauty Therapist,"No. 72, Jalan 11/6",Kuala Lumpur,Wilayah Persekutuan,55100,1987-03-02,Female,thivya.21@glowbeauty.com.my,013-6358280,2019-03-15,Active
22,1,Zarina,binti Yusof,Receptionist,"No. 158, Jalan 1/7",Kuala Lumpur,Wilayah Persekutuan,55100,1997-08-27,Female,zarina.22@glowbeauty.com.my,012-5034708,2019-05-10,Active
23,1,Sze Min,Ng,Sales Assistant,"No. 12, Jalan 10/9",Kuala Lumpur,Wilayah Persekutuan,55100,1988-04-22,Female,sze.23@glowbeauty.com.my,014-4012090,2019-07-30,Active
24,1,Suhaila,binti Yusof,Beauty Therapist,"No. 113, Jalan 16/25",Kuala Lumpur,Wilayah Persekutuan,55100,1988-05-26,Female,suhaila.24@glowbeauty.com.my,017-3499488,2022-01-22,Active
25,1,Zulkifli,bin Hassan,Sales Assistant,"No. 218, Jalan 11/12",Kuala Lumpur,Wilayah Persekutuan,55100,1995-10-29,Male,zulkifli.25@glowbeauty.com.my,015-3656780,2022-02-19,Active
26,1,Rachel,Khoo,Cashier,"No. 107, Jalan 13/23",Kuala Lumpur,Wilayah Persekutuan,55100,2000-03-16,Female,rachel.26@glowbeauty.com.my,016-4940191,2022-05-12,Active
27,1,Danial,bin Hassan,Beauty Therapist,"No. 73, Jalan 14/1",Kuala Lumpur,Wilayah Persekutuan,55100,1987-10-15,Male,danial.27@glowbeauty.com.my,011-3177376,2023-06-22,Active
28,2,Amirul,bin Ahmad,Branch Manager,"No. 4, Jalan 20/8",Petaling Jaya,Selangor,47300,1969-03-09,Male,amirul.28@glowbeauty.com.my,016-1023242,2016-08-06,Active
29,2,Thivya,a/p Subramaniam,Sales Assistant,"No. 128, Jalan 15/22",Petaling Jaya,Selangor,47300,1987-12-10,Female,thivya.29@glowbeauty.com.my,018-1099994,2016-08-19,Resigned
30,2,Izzati,binti Abdullah,Senior Therapist,"No. 82, Jalan 19/10",Petaling Jaya,Selangor,47300,1980-11-11,Female,izzati.30@glowbeauty.com.my,017-2605039,2016-08-21,Active
31,2,Pei Shan,Chong,Beauty Therapist,"No. 25, Jalan 17/9",Petaling Jaya,Selangor,47300,1987-05-28,Female,pei.31@glowbeauty.com.my,017-4012995,2016-08-23,Active
32,2,Anisa,binti Yusof,Beauty Therapist,"No. 240, Jalan 15/7",Petaling Jaya,Selangor,47300,1991-06-30,Female,anisa.32@glowbeauty.com.my,010-2319772,2016-09-08,Resigned
33,2,Nurin,binti Hassan,Beauty Therapist,"No. 29, Jalan 10/3",Petaling Jaya,Selangor,47300,1992-12-20,Female,nurin.33@glowbeauty.com.my,011-2171144,2016-09-30,Active
34,2,Divya,a/p Maniam,Beauty Therapist,"No. 111, Jalan 2/26",Petaling Jaya,Selangor,47300,1986-07-15,Female,divya.34@glowbeauty.com.my,014-6469342,2016-10-06,Resigned
35,2,Sze Min,Lim,Receptionist,"No. 156, Jalan 6/27",Petaling Jaya,Selangor,47300,1992-10-17,Female,sze.35@glowbeauty.com.my,019-4933924,2016-10-06,Active
36,2,Shu Fen,Lim,Beauty Therapist,"No. 71, Jalan 6/17",Petaling Jaya,Selangor,47300,1980-10-30,Female,shu.36@glowbeauty.com.my,010-8317803,2016-10-21,Active
37,2,Aisyah,binti Zainal,Senior Therapist,"No. 162, Jalan 9/20",Petaling Jaya,Selangor,47300,1989-06-02,Female,aisyah.37@glowbeauty.com.my,014-4312303,2016-11-09,Active
38,2,Divya,a/p Muniandy,Beauty Therapist,"No. 192, Jalan 13/14",Petaling Jaya,Selangor,47300,1982-01-02,Female,divya.38@glowbeauty.com.my,011-4967673,2016-11-27,Resigned
39,2,Shu Fen,Goh,Beauty Therapist,"No. 166, Jalan 7/25",Petaling Jaya,Selangor,47300,1992-03-14,Female,shu.39@glowbeauty.com.my,016-1767144,2016-12-03,Resigned
40,2,Rohani,binti Yusof,Beauty Therapist,"No. 128, Jalan 8/13",Petaling Jaya,Selangor,47300,1978-01-29,Female,rohani.40@glowbeauty.com.my,010-4176727,2016-12-11,Active
41,2,Hannah,binti Ahmad,Beauty Therapist,"No. 75, Jalan 18/13",Petaling Jaya,Selangor,47300,1989-05-14,Female,hannah.41@glowbeauty.com.my,015-8703370,2016-12-15,Active
42,2,Sze Min,Chong,Beauty Therapist,"No. 154, Jalan 19/18",Petaling Jaya,Selangor,47300,1983-02-11,Female,sze.42@glowbeauty.com.my,010-5872155,2016-12-16,Active
43,2,Jia Yi,Chin,Sales Assistant,"No. 27, Jalan 18/30",Petaling Jaya,Selangor,47300,1993-08-09,Female,jia.43@glowbeauty.com.my,013-9389934,2016-12-17,Active
44,2,Michelle,Chong,Sales Assistant,"No. 227, Jalan 12/17",Petaling Jaya,Selangor,47300,1993-07-30,Female,michelle.44@glowbeauty.com.my,017-5917732,2016-12-24,Active
45,2,Amirul,bin Yusof,Sales Assistant,"No. 121, Jalan 3/16",Petaling Jaya,Selangor,47300,1981-10-15,Male,amirul.45@glowbeauty.com.my,015-4529353,2016-12-26,Active
46,2,Li Wen,Foo,Senior Therapist,"No. 23, Jalan 19/17",Petaling Jaya,Selangor,47300,1991-12-22,Female,li.46@glowbeauty.com.my,010-7463555,2016-12-27,Active
47,2,Emily,Liew,Cashier,"No. 148, Jalan 3/30",Petaling Jaya,Selangor,47300,1987-09-12,Female,emily.47@glowbeauty.com.my,016-8435004,2017-03-31,Active
