st_ID,br_ID,st_first_name,st_last_name,st_position,st_address_line,st_city,st_state,st_postcode,st_DOB,st_gender,st_email,st_phone,st_hire_date,st_status
1,1,Li Wen,Goh,Branch Manager,"No. 31, Jalan 2/17",Kuala Lumpur,Wilayah Persekutuan,55100,1975-10-23,Female,li.1@glowbeauty.com.my,018-6081768,2016-02-07,Active
2,1,Vanessa,Khoo,Sales Assistant,"No. 91, Jalan 13/7",Kuala Lumpur,Wilayah Persekutuan,55100,1986-12-06,Female,vanessa.2@glowbeauty.com.my,018-8516059,2016-03-07,Resigned
3,1,Nurin,binti Hassan,Sales Assistant,"No. 177, Jalan 17/30",Kuala Lumpur,Wilayah Persekutuan,55100,1980-06-17,Female,nurin.3@glowbeauty.com.my,014-7737465,2016-03-11,Active
4,1,Balqis,binti Yusof,Beauty Therapist,"No. 215, Jalan 9/22",Kuala Lumpur,Wilayah Persekutuan,55100,1981-07-13,Female,balqis.4@glowbeauty.com.my,012-1627546,2016-03-15,Active
5,1,Irfan,bin Zainal,Beauty Therapist,"No. 52, Jalan 15/22",Kuala Lumpur,Wilayah Persekutuan,55100,1979-06-12,Male,irfan.5@glowbeauty.com.my,019-5295533,2016-03-20,Active
6,1,Lakshmi,a/p Subramaniam,Sales Assistant,"No. 117, Jalan 8/18",Kuala Lumpur,Wilayah Persekutuan,55100,1996-07-09,Female,lakshmi.6@glowbeauty.com.my,016-4313326,2016-04-01,Active
7,1,Jun Hao,Chua,Beauty Therapist,"No. 248, Jalan 5/27",Kuala Lumpur,Wilayah Persekutuan,55100,1985-01-06,Male,jun.7@glowbeauty.com.my,010-6408564,2016-04-04,Resigned
8,1,Yasmin,binti Rahman,Cashier,"No. 14, Jalan 18/9",Kuala Lumpur,Wilayah Persekutuan,55100,1981-12-18,Female,yasmin.8@glowbeauty.com.my,019-3783728,2016-04-10,Active
9,1,Nadia,binti Rahman,Beauty Therapist,"No. 226, Jalan 5/28",Kuala Lumpur,Wilayah Persekutuan,55100,1987-06-04,Female,nadia.9@glowbeauty.com.my,014-2223073,2016-04-11,Resigned
10,1,Kai Xin,Teoh,Receptionist,"No. 21, Jalan 9/5",Kuala Lumpur,Wilayah Persekutuan,55100,1992-11-16,Female,kai.10@glowbeauty.com.my,014-5826073,2016-04-17,Active
11,1,Izzati,binti Abdullah,Senior Therapist,"No. 15, Jalan 11/7",Kuala Lumpur,Wilayah Persekutuan,55100,1989-11-03,Female,izzati.11@glowbeauty.com.my,013-9636196,2016-04-18,Active
12,1,Hui Min,Chan,Beauty Therapist,"No. 106, Jalan 9/17",Kuala Lumpur,Wilayah Persekutuan,55100,1976-07-19,Female,hui.12@glowbeauty.com.my,012-8832340,2016-05-05,Active
13,1,Grace,Chua,Senior Therapist,"No. 226, Jalan 2/22",Kuala Lumpur,Wilayah Persekutuan,55100,1975-05-05,Female,grace.13@glowbeauty.com.my,015-8748961,2016-05-06,Active
14,1,Meena,a/p Krishnan,Senior Therapist,"No. 82, Jalan 14/1",Kuala Lumpur,Wilayah Persekutuan,55100,1991-12-07,Female,meena.14@glowbeauty.com.my,018-4226556,2016-05-24,Active
