cus_ID,cus_first_name,cus_last_name,cus_age,cus_gender,cus_phone,cus_DOB,cus_email,cus_loyalty_tier,cus_address_line,cus_city,cus_state,cus_postcode,cus_reg_date
32001,Suhaila,Chong,44,Female,018-9911993,1980-06-11,suhaila32001@gmail.com,Bronze,"No. 160, Jalan B9",Melaka,Melaka,53408,2025-01-15
32002,Priya,binti Ismail,36,Female,019-3489698,1989-06-23,priya32002@gmail.com,Bronze,"No. 1, Jalan C20",Petaling Jaya,Selangor,81808,2025-07-04
32003,Priya,Hassan,19,Female,015-9624764,2006-02-22,priya32003@gmail.com,Bronze,"No. 127, Jalan C19",Melaka,Melaka,13211,2025-10-04
32004,Mei Ling,Lee,51,Female,013-3406171,1974-04-15,mei32004@gmail.com,Bronze,"No. 228, Jalan G19",George Town,Pulau Pinang,29812,2025-10-21
32005,Jasmine,Yeoh,51,Female,012-5003363,1973-10-07,jasmine32005@gmail.com,Bronze,"No. 162, Jalan C5",Petaling Jaya,Selangor,92381,2025-09-19
32006,Hui Min,Teoh,24,Female,011-9555881,2000-07-14,hui32006@gmail.com,Bronze,"No. 79, Jalan B14",Petaling Jaya,Selangor,51329,2025-07-06
32007,Nur Aina,Chong,60,Female,015-9664732,1965-06-13,nur32007@gmail.com,Platinum,"No. 183, Jalan C17",Ipoh,Perak,72327,2025-12-12
32008,Rajesh,bin Abdullah,27,Male,017-8161734,1997-11-20,rajesh32008@gmail.com,Silver,"No. 214, Jalan C11",Petaling Jaya,Selangor,25434,2025-05-14
32009,Amirul,Cheah,49,Male,015-4884075,1976-07-19,amirul32009@gmail.com,Bronze,"No. 76, Jalan D6",Ipoh,Perak,77360,2025-11-18
32010,Zarina,a/l Subramaniam,22,Female,010-1121108,2002-09-29,zarina32010@gmail.com,Silver,"No. 300, Jalan A19",Melaka,Melaka,88079,2025-02-07
32011,Zarina,binti Ismail,51,Female,010-7694617,1973-08-24,zarina32011@gmail.com,Silver,"No. 286, Jalan E14",Petaling Jaya,Selangor,47212,2025-06-02
32012,Siti,binti Ismail,39,Female,010-6999063,1985-08-03,siti32012@gmail.com,Silver,"No. 12, Jalan G18",George Town,Pulau Pinang,86530,2025-05-17
32013,Alia,Wong,23,Female,016-7707479,2002-03-07,alia32013@gmail.com,Gold,"No. 180, Jalan D2",Johor Bahru,Johor,21633,2025-10-11
32014,Aisyah,Hassan,41,Female,018-7206894,1984-03-03,aisyah32014@gmail.com,Silver,"No. 47, Jalan C4",Ipoh,Perak,54122,2025-05-28
32015,Suresh,Lim,23,Male,018-8710760,2001-10-30,suresh32015@gmail.com,Bronze,"No. 158, Jalan A12",Ipoh,Perak,43765,2025-07-07
32016,Nurin,a/p Subramaniam,46,Female,014-1765455,1978-05-02,nurin32016@gmail.com,Gold,"No. 6, Jalan F1",Petaling Jaya,Selangor,49892,2025-03-05
32017,Rachel,a/l Subramaniam,20,Female,015-6948621,2005-02-03,rachel32017@gmail.com,Silver,"No. 69, Jalan G5",Petaling Jaya,Selangor,30065,2025-12-03
32018,Divya,Rahman,20,Female,017-4099808,2004-09-21,divya32018@gmail.com,Silver,"No. 104, Jalan B20",Melaka,Melaka,24276,2025-05-01
32019,Divya,binti Ismail,23,Female,013-1963325,2001-11-30,divya32019@gmail.com,Bronze,"No. 215, Jalan G17",Johor Bahru,Johor,82604,2025-05-24
32020,Alia,Lee,51,Female,018-3061223,1974-05-11,alia32020@gmail.com,Bronze,"No. 165, Jalan G16",Kuala Lumpur,Wilayah Persekutuan,48239,2025-07-12
32021,Lakshmi,Cheah,58,Female,015-3485677,1966-01-16,lakshmi32021@gmail.com,Bronze,"No. 138, Jalan C1",Johor Bahru,Johor,26536,2025-01-04
32022,Priya,Lee,53,Female,019-3502046,1971-11-25,priya32022@gmail.com,Silver,"No. 50, Jalan E2",Kuala Lumpur,Wilayah Persekutuan,36682,2025-03-13
