cus_ID,cus_first_name,cus_last_name,cus_gender,cus_phone,cus_DOB,cus_email,cus_loyalty_tier,cus_address_line,cus_city,cus_state,cus_postcode,cus_reg_date
25867,Nabila,binti Hamid,Female,011-6616345,1969-08-19,nabila25867@gmail.com,Silver,"No. 268, Jalan G7",Kuala Lumpur,Federal Territory of Kuala Lumpur,59200,2024-01-01
25868,Jasmine,Khoo,Female,015-5058271,1975-10-01,jasmine25868@gmail.com,Bronze,"No. 79, Jalan A19",Kuala Lumpur,Federal Territory of Kuala Lumpur,58000,2024-01-01
25869,Jasmine,Foo,Female,012-5958639,2002-02-24,jasmine25869@gmail.com,Silver,"No. 44, Jalan E15",Kuala Lumpur,Federal Territory of Kuala Lumpur,55100,2024-01-01
25870,Michelle,Teoh,Female,010-9345395,1992-07-03,michelle25870@gmail.com,Bronze,"No. 30, Jalan F4",Sungai Buloh,Selangor,47000,2024-01-01
25871,Faizal,bin Osman,Male,018-1135181,1981-12-07,faizal25871@gmail.com,Bronze,"No. 12, Jalan B5",Klang,Selangor,41250,2024-01-01
25872,Ling Ling,Cheah,Female,017-6931667,1989-11-23,ling25872@gmail.com,Silver,"No. 18, Jalan E13",Johor Bahru,Johor,80000,2024-01-01
25873,Rohani,binti Osman,Female,011-8777448,1987-04-24,rohani25873@gmail.com,Bronze,"No. 262, Jalan D16",George Town,Pulau Pinang,10350,2024-01-01
25874,Izzati,binti Hassan,Female,019-8400844,1991-12-25,izzati25874@gmail.com,Bronze,"No. 243, Jalan F10",Alor Gajah,Melaka,78000,2024-01-01
25875,Vanessa,Ong,Female,013-6054414,1988-04-06,vanessa25875@gmail.com,Silver,"No. 223, Jalan A6",Sungai Buloh,Selangor,47000,2024-01-01
25876,Nurin,binti Razak,Female,019-7526806,1979-01-12,nurin25876@gmail.com,Bronze,"No. 276, Jalan E5",Bangi,Selangor,43600,2024-01-01
25877,Balqis,binti Abdullah,Female,017-7600640,1988-07-02,balqis25877@gmail.com,Silver,"No. 285, Jalan F9",Cyberjaya,Selangor,63100,2024-01-01
25878,Wan Ying,Khoo,Female,014-1642596,1970-05-04,wan25878@gmail.com,Silver,"No. 180, Jalan D19",Selayang,Selangor,68100,2024-01-01
25879,Danial,bin Yusof,Male,012-2662167,2005-01-30,danial25879@gmail.com,Gold,"No. 246, Jalan F16",Setapak,Federal Territory of Kuala Lumpur,53100,2024-01-01
25880,Hannah,binti Ahmad,Female,017-9418476,1982-07-06,hannah25880@gmail.com,Silver,"No. 118, Jalan E15",Bukit Jalil,Federal Territory of Kuala Lumpur,57000,2024-01-01
25881,Aiman,bin Hamid,Male,018-8590652,1980-03-08,aiman25881@gmail.com,Bronze,"No. 244, Jalan A1",Shah Alam,Selangor,40400,2024-01-01
25882,Nur Aina,binti Zainal,Female,010-2748741,1968-06-10,nur25882@gmail.com,Silver,"No. 144, Jalan D16",Ipoh,Perak,30300,2024-01-01
25883,Michelle,Chong,Female,014-2702124,1977-06-07,michelle25883@gmail.com,Bronze,"No. 163, Jalan F19",Subang Jaya,Selangor,47630,2024-01-01
25884,Meena,a/p Subramaniam,Female,013-8232881,1974-05-05,meena25884@gmail.com,Bronze,"No. 47, Jalan B12",Kuala Lumpur,Federal Territory of Kuala Lumpur,59000,2024-01-02
25885,Nadia,binti Ismail,Female,011-1830916,2004-10-09,nadia25885@gmail.com,Bronze,"No. 193, Jalan C10",Kuala Lumpur,Federal Territory of Kuala Lumpur,59200,2024-01-02
25886,Lakshmi,a/p Subramaniam,Female,012-1461929,1977-11-08,lakshmi25886@gmail.com,Bronze,"No. 269, Jalan E6",Petaling Jaya,Selangor,47301,2024-01-02
25887,Jia Yi,Chan,Female,014-5359304,1973-08-03,jia25887@gmail.com,Silver,"No. 181, Jalan F1",Sungai Buloh,Selangor,47810,2024-01-02
25888,Izzati,binti Zainal,Female,019-4068405,1984-05-10,izzati25888@gmail.com,Bronze,"No. 92, Jalan A3",Johor Bahru,Johor,81300,2024-01-02
25889,Aina,binti Hassan,Female,010-1853887,1995-07-17,aina25889@gmail.com,Bronze,"No. 30, Jalan B18",Gombak,Selangor,53100,2024-01-02
25890,Adam,bin Ahmad,Male,016-6882918,2004-12-26,adam25890@gmail.com,Silver,"No. 119, Jalan D7",Setapak,Federal Territory of Kuala Lumpur,53300,2024-01-02
25891,Chloe,Tan,Female,011-3408295,1987-05-30,chloe25891@gmail.com,Bronze,"No. 290, Jalan D8",Wangsa Maju,Federal Territory of Kuala Lumpur,53100,2024-01-02
25892,Farah,binti Yusof,Female,012-8251663,2004-05-21,farah25892@gmail.com,Bronze,"No. 74, Jalan A17",Ipoh,Perak,31350,2024-01-02
25893,Yee Ling,Chong,Female,018-3167219,1963-10-17,yee25893@gmail.com,Bronze,"No. 221, Jalan G7",Klang,Selangor,41250,2024-01-02
25894,Rachel,Khoo,Female,013-4738974,1976-01-10,rachel25894@gmail.com,Silver,"No. 69, Jalan D18",Kuala Lumpur,Federal Territory of Kuala Lumpur,57000,2024-01-03
25895,Xin Yi,Liew,Female,015-5018266,1976-03-30,xin25895@gmail.com,Bronze,"No. 127, Jalan B17",Sungai Buloh,Selangor,47000,2024-01-03
25896,Jasmine,Ong,Female,013-1748790,2001-09-06,jasmine25896@gmail.com,Gold,"No. 40, Jalan F12",Kulai,Johor,81000,2024-01-03
25897,Aisyah,binti Razak,Female,013-7680176,1989-01-04,aisyah25897@gmail.com,Gold,"No. 30, Jalan E5",Johor Bahru,Johor,80200,2024-01-03
25898,Suhaila,binti Hassan,Female,011-6258610,2003-06-01,suhaila25898@gmail.com,Bronze,"No. 42, Jalan F15",Bukit Jalil,Federal Territory of Kuala Lumpur,57100,2024-01-03
25899,Suhaila,binti Abdullah,Female,017-5763032,1988-03-17,suhaila25899@gmail.com,Silver,"No. 197, Jalan A13",Melaka,Melaka,75050,2024-01-03
25900,Balqis,binti Rahman,Female,019-6792495,1983-06-05,balqis25900@gmail.com,Silver,"No. 205, Jalan B12",Melaka,Melaka,75150,2024-01-03
25901,Lakshmi,a/p Rajan,Female,018-3382620,1974-05-26,lakshmi25901@gmail.com,Bronze,"No. 142, Jalan D18",Melaka,Melaka,75050,2024-01-03
25902,Jasmine,Ong,Female,012-4617336,1989-06-08,jasmine25902@gmail.com,Silver,"No. 110, Jalan A2",Shah Alam,Selangor,40400,2024-01-03
25903,Lakshmi,a/p Ramasamy,Female,017-6520076,1979-05-31,lakshmi25903@gmail.com,Bronze,"No. 263, Jalan A18",Sungai Buloh,Selangor,47810,2024-01-03
25904,Ling Ling,Khoo,Female,015-4299263,1990-09-24,ling25904@gmail.com,Silver,"No. 118, Jalan C14",Shah Alam,Selangor,40100,2024-01-03
25905,Sze Min,Chin,Female,016-2996141,1967-08-26,sze25905@gmail.com,Bronze,"No. 184, Jalan D5",Klang,Selangor,41250,2024-01-03
25906,Vanessa,Loh,Female,014-2879357,1965-05-05,vanessa25906@gmail.com,Bronze,"No. 150, Jalan B15",Klang,Selangor,42100,2024-01-03
25907,Michelle,Goh,Female,013-7273947,2003-08-16,michelle25907@gmail.com,Bronze,"No. 53, Jalan E4",Setapak,Federal Territory of Kuala Lumpur,53200,2024-01-03
25908,Xin Yi,Khoo,Female,018-7325186,1991-05-15,xin25908@gmail.com,Silver,"No. 260, Jalan A4",Wangsa Maju,Federal Territory of Kuala Lumpur,53200,2024-01-03
25909,Farah,binti Osman,Female,011-1564997,1977-06-28,farah25909@gmail.com,Gold,"No. 255, Jalan B2",Wangsa Maju,Federal Territory of Kuala Lumpur,53200,2024-01-03
25910,Lakshmi,a/p Muniandy,Female,011-6712683,1967-11-26,lakshmi25910@gmail.com,Gold,"No. 200, Jalan B15",Gombak,Selangor,68100,2024-01-03
25911,Rohani,binti Razak,Female,015-7588436,1992-01-24,rohani25911@gmail.com,Silver,"No. 65, Jalan B20",Shah Alam,Selangor,40160,2024-01-03
25912,Wan Ying,Teoh,Female,018-2351150,1998-05-08,wan25912@gmail.com,Gold,"No. 112, Jalan G2",Kuala Lumpur,Federal Territory of Kuala Lumpur,56000,2024-01-04
25913,Michelle,Foo,Female,018-4807355,2004-01-22,michelle25913@gmail.com,Silver,"No. 108, Jalan A4",Selayang,Selangor,68000,2024-01-04
25914,Farah,binti Razak,Female,018-4053298,1972-07-30,farah25914@gmail.com,Bronze,"No. 179, Jalan D13",Johor Bahru,Johor,80100,2024-01-04
25915,Faizal,bin Hassan,Male,016-8471367,1974-08-22,faizal25915@gmail.com,Silver,"No. 245, Jalan A17",Johor Bahru,Johor,81100,2024-01-04
